organization,DISTRICT_ID,TYPE,COUNTY,COGO_ACRES,PLAT_ACRES,DIGITIZED,STATUS,CREATION_DATE,BNDRY_CHANGE,METHOD,SOURCE,ACCURACY,COMMENTS,INITIALS,UPDATED,TX_CNTY,FIPS,SHAPEAREA,SHAPELEN
Llano Estacado Water District,5444500,OTH,Oldham,249596.0619,0,Y,A,1977/08/29 00:00:00+00,,OSD,MAP,NP,llano_estacado_wd.shp,SFA,2009/02/10 00:00:00+00,180,359,0.100012252,1.97820772
Galveston County Navigation District 1,3210000,ND,Galveston,59853.64462,0,N,A,1954/02/01 00:00:00+00,,SHP,OTH,NP,galveston_nd1.shp,SFA,2009/02/10 00:00:00+00,84,167,0.022491395,0.651441213
Loving County Water Improvement District 1,5450000,WID,Loving,2926.751521,0,Y,A,1933/08/21 00:00:00+00,,OSD,MB,NP,loving_wid1.shp,SFA,2009/02/11 00:00:00+00,151,301,0.001126443,0.188290862
Harris County MUD 458,3737167,MUD,Harris,591.8040812,599.1173,N,I,2006/12/21 00:00:00+00,2017/07/31 00:00:00+00,MB,FN,P, ,SPT,2018/10/08 00:00:00+00,101,201,0.000223676,0.114042737
West Harris County MUD 1,8472850,MUD,Harris,416.3683098,415.1539,N,A,1967/06/16 00:00:00+00,2008/01/09 00:00:00+00,MB,FN,NP,wharrismud1_*.txt,kp,2008/08/21 00:00:00+00,101,201,0.000157346,0.103438492
Sienna Plantation Management District,7573200,MMD,Fort Bend,311.7333087,310.649,N,I,2003/06/20 00:00:00+00,2008/05/29 00:00:00+00,MB,FN,P,siennaplantationmd_*.txt,kp,2008/08/21 00:00:00+00,79,157,0.000117412,0.117587462
Clear Creek Watershed Authority,2300000,WCID,Cooke,224746.7472,0,Y,A,1959/06/01 00:00:00+00,,OSD,MAP,NP,clear_creek_wa.shp,SFA,,49,97,0.088212919,1.804749327
Bandera County River Authority,1195000,WCID,Bandera,510503.7018,522213.038,Y,I,1971/08/30 00:00:00+00,,OSD,OTH,NP,bandera_ra.shp,SFA,,10,19,0.192676165,2.12082608
Bayview Irrigation District 11,1211700,ID,Cameron,10672.22246,0,Y,A,1928/06/18 00:00:00+00,,OSD,MAP,NP,bayview_id11.shp,SFA,,31,61,0.003898048,0.528853736
Roberts County FWSD 1,7292050,FWSD,Roberts,6334.643985,0,N,I,2007/09/04 00:00:00+00,,MB,FN,NP,roberts_fwsd1.shp,SFA,,197,393,0.002561058,0.56567617
Fort Bend County WCID 2,3090000,WCID,Fort Bend,7209.704514,7269.135,Y,A,1946/12/16 00:00:00+00,2020/12/16 00:00:00+00,MB,FN,NP, ,GN,2021/07/07 00:00:00+00,79,157,0.002717821,0.447775362
East Montgomery County Improvement District,2801500,MMD,Montgomery,103336.4088,0,Y,A,1997/05/28 00:00:00+00,,OSD,FN,NP,east_montgomery_id.shp,SFA,,170,339,0.039172015,1.0879662
Farmers Creek Watershed Authority,3025000,WCID,Montague,81105.47155,0,Y,A,1961/05/27 00:00:00+00,,OSD,FN,NP,farmers_creek_wa.shp,SFA,,169,337,0.031949745,1.417576392
Greater East End MGMT District,3413030,MMD,Harris,10044.36676,0,Y,A,1999/05/10 00:00:00+00,,OSD,MAP,NP,greater_east_end_md.shp,SFA,,101,201,0.003790491,0.318659291
Harris County MUD 200,3737468,MUD,Harris,746.1786548,746.2894,N,A,1980/10/08 00:00:00+00,2011/08/16 00:00:00+00,MB,FN,NP,harrismud200_*.txt,kp,2012/03/06 00:00:00+00,101,201,0.000282259,0.14199243
Imperial Redevelopment District,4703000,MUD,Fort Bend,746.1629954,746.379,N,A,2005/06/18 00:00:00+00,2010/12/10 00:00:00+00,MB,FN,P,imperial_rd_*.txt,kp,2012/03/15 00:00:00+00,79,157,0.000281303,0.14953744
Harris County Improvement District 20,3736600,MMD,Harris,5023.14982,0,Y,I,2009/06/19 00:00:00+00,,L,TxDOT,NP,harris_co_id20.shp,SFA,2009/10/06 00:00:00+00,101,201,0.001893928,0.297497471
Harris County Improvement District 21,3736650,MMD,Harris,850.2597405,0,Y,I,2009/06/19 00:00:00+00,,L,TxDOT,NP,harris_co_id21.shp,SFA,2009/10/06 00:00:00+00,101,201,0.000320734,0.079803576
Lake Texoma MUD 1,5322020,MUD,Grayson,2272.497502,2272.6,N,I,2009/09/01 00:00:00+00,,MB,FN,NP,lake_texoma_mud.shp,SFA,2009/10/06 00:00:00+00,91,181,0.000895616,0.224894768
Prosper Management District 1,7158000,MMD,Denton,675.0853109,674.916,Y,I,2009/09/01 00:00:00+00,,MB,FN,NP,prosper_md1.shp,SFA,2009/10/06 00:00:00+00,61,121,0.000264256,0.109807091
San Gabriel MUD 1,7468500,MUD,Williamson,419.611148,419.52,Y,I,2009/09/01 00:00:00+00,,MB,FN,NP,san_gabriel_mud1.shp,SFA,2009/10/06 00:00:00+00,246,491,0.000159799,0.089954858
Seven Oaks Ranch MUD,7571245,MUD,Williamson,222.0164364,222.2,Y,I,2009/09/01 00:00:00+00,,MB,FN,NP,seven_oaks_ranch_mud.shp,SFA,2009/10/06 00:00:00+00,246,491,8.45E-05,0.043779157
Tornillo Management District,7799000,MMD,El Paso,1377.72452,1377.439,Y,I,2009/06/19 00:00:00+00,,MB,FN,NP,tornillo_md.shp,SFA,2009/10/06 00:00:00+00,71,141,0.000528964,0.143920064
Kaufman County Parks Improvement District,5189829,OTH,Kaufman,47433.65248,0,Y,I,2009/06/19 00:00:00+00,,L,Other,NP,kaufman_co_parks_id.shp,SFA,2009/10/06 00:00:00+00,129,257,0.018466806,1.017612261
Jackson County Navigation District,4870000,ND,Jackson,548690.4365,0,Y,A,1952/10/13 00:00:00+00,,OSD,OTH,NP,jackson_nd.shp,SFA,2009/02/09 00:00:00+00,120,239,0.205516013,2.268397414
Pecos County WCID 1,7040000,WCID,Pecos,8297.396753,7866.16,Y,A,1920/10/18 00:00:00+00,1959/04/21 00:00:00+00,OSD,MAP,NP,pecos_wcid1.shp,SFA,2009/02/19 00:00:00+00,186,371,0.003169109,0.75748875
Fort Bend County MUD 187,3079491,MUD,Fort Bend,521.4051313,519.56,N,I,2008/05/09 00:00:00+00,,NB,FN,P,ftbdmud187.txt,kp,,79,157,0.000196428,0.080830757
Harris County FCD,3630000,OTH,Harris,1137663.868,1096246,Y,A,1937/05/15 00:00:00+00,,OSD,FN,NP,houston_co_fcd.shp,SFA,,101,201,0.429771304,4.070707613
Harris County Improvement District 5,3736789,OTH,Harris,5710.022741,0,N,I,2005/06/17 00:00:00+00,,E,SHP,NP,harris_co_id5.shp,SFA,,101,201,0.002153192,0.268504112
Harris County Improvement District 9,3736963,OTH,Harris,9339.257906,0,N,I,2007/09/01 00:00:00+00,,E,SHP,NP,harris_co_id9.shp,SFA,,101,201,0.00352155,0.258996888
International Management District,4712000,MMD,Harris,8345.700033,0,N,I,2007/09/01 00:00:00+00,,E,SHP,NP,international_md.shp,SFA,,101,201,0.00314804,0.280711291
North Hunt SUD,5984950,SUD,Hunt,85853.78942,85676,Y,I,2009/09/28 00:00:00+00,,OSD,FN,NP,northhuntsud.shp,ks,2009/10/08 00:00:00+00,116,231,0.033643784,1.457105688
Montgomery County MUD 125,5860040,MUD,Montgomery,876.8223788,873.3064,N,I,2009/09/30 00:00:00+00,,MB,FN,P,montgomerymud125.shp,sae,2009/10/08 00:00:00+00,170,339,0.000332634,0.096010119
South Fork Ranch MUD,7579450,MUD,Williamson,164.9991958,164.96,Y,I,2009/06/19 00:00:00+00,,MB,FN,NP,south_fork_ranch_mud.shp,SFA,2009/10/13 00:00:00+00,246,491,6.28E-05,0.03182984
Lazy Nine MUD 1E,5374938,MUD,Travis,681.6656982,678.893,N,A,2007/11/06 00:00:00+00,,MB,FN,NP,lazynine_mud1e.shp,sae,2009/10/27 00:00:00+00,227,453,0.000258771,0.087958004
Galveston County MUD 53,3200285,MUD,Galveston,423.7219349,423.68,N,A,2005/06/22 00:00:00+00,2021/08/02 00:00:00+00,MB,FN,P, ,gn,2022/03/18 00:00:00+00,84,167,0.000159507,0.070153921
Upper Brushy Creek WCID,8100500,WCID,Williamson,119461.7921,118942,Y,A,2001/11/06 00:00:00+00,,OSD,MAP,NP,upperbrushycreekwcid.img,kp,2009/11/09 00:00:00+00,246,491,0.045440565,1.405649102
White Bluff WCID,8532000,WCID,Hill,2026.976144,2052.54,N,I,1969/06/02 00:00:00+00,,MB,FN,NP,white_bluff_wcid_*.shp,SFA,2009/04/22 00:00:00+00,109,217,0.000783081,0.242383964
Kickapoo FWSD of Waller County,5193663,FWSD,Waller,497.2350461,495.3,N,A,2008/08/26 00:00:00+00,,MB,FN,P,kickapoofwsd.txt,kp,2009/04/22 00:00:00+00,237,473,0.000188378,0.068092342
Sunrise MUD of Hunt County,7634150,MUD,Hunt,1880.929654,1874.7244,N,A,2005/05/21 00:00:00+00,,MB,FN,NP,sunrisemud_*.txt,kp,2009/04/22 00:00:00+00,116,232,0.000733605,0.180479909
Harris County MUD 393,3738445,MUD,Harris,447.7918854,446.4381,N,A,2004/03/10 00:00:00+00,2011/02/28 00:00:00+00,MB,FN,NP,harrismud393-*.txt,kp,2012/06/05 00:00:00+00,101,201,0.000168852,0.151586736
Sulphur River Basin Authority,7619000,RA,Delta,2298559.707,0,N,A,1985/08/26 00:00:00+00,,D,OTH,NP,sulphur_river_ba.shp,SFA,2009/02/10 00:00:00+00,60,119,0.90127813,5.438202702
Panola County FWSD 1,7010000,FWSD,Panola,524742.3624,0,Y,A,1953/05/19 00:00:00+00,,OSD,OTH,NP,panola_fwsd1.shp,SFA,2009/03/09 00:00:00+00,183,365,0.203021258,2.021497772
Port Of Beaumont Navigation District,7130000,ND,Jefferson,95492.07114,0,Y,A,1949/05/11 00:00:00+00,,OSD,MAp,NP,port_of_beaumont_nd.shp,SFA,2009/03/09 00:00:00+00,123,245,0.036150904,1.116438925
Saddletree WCID,7400555,WCID,Hays,902.2563958,898.6649,N,I,1984/08/13 00:00:00+00,,105,209,NP,saddletree_wcid.shp,SFA,2009/03/09 00:00:00+00,105,209,0.000342333,0.07982866
Siesta Shores WCID,7574000,WCID,Zapata,801.8736604,802.83,Y,A,1991/08/10 00:00:00+00,,OSD,MAP,NP,siesta_shores_wcid.shp,SFA,2009/03/09 00:00:00+00,253,505,0.000294711,0.100374064
Towne Lake Management District,7808750,MMD,Harris,60.02305972,59.799,N,A,2007/09/01 00:00:00+00,,MB,FN,P,townelakemgmtdistrict.txt,kp,,101,201,2.27E-05,0.019899131
Northwest Harris County MUD 36,6041714,MUD,Harris,302.5092341,303.063,N,A,1985/04/22 00:00:00+00,2017/05/24 00:00:00+00,MB,FN,NP, ,SPT,2018/10/01 00:00:00+00,101,201,0.000114501,0.109158873
Aransas County Navigation District,1040000,ND,Aransas,1900.972717,0,Y,A,1949/05/14 00:00:00+00,,OSD,MAPMB,NP,aransas_nd1.shp,SFA,,4,7,0.000705994,0.16990416
Kaufman County LID 1,5160000,LID,Kaufman,8593.131686,8000,Y,A,1914/01/12 00:00:00+00,,OSD,OTH,NP,kaufman_lid1.shp,SFA,,129,257,0.003333469,0.429935378
NASA Area Management District,5937000,MMD,Harris,485.5058148,0,Y,A,2007/09/01 00:00:00+00,,OSD,MAP/FN,NP,nasa_area_md.shp,SFA,,101,201,0.000182883,0.136451393
Nueces County Bishop Driscoll Drainage District 3,6043000,DD,Nueces,28632.86127,0,Y,A,1927/01/10 00:00:00+00,,OSD,MAP,NP,nueces_bishop_driscoll_dd3.shp,SFA,,178,355,0.010592258,0.49478702
Randall County MUD 1,7175750,MUD,Randall,1068.609186,1087.96,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,randall_mud1.shp,SFA,,191,381,0.000427296,0.159478495
San Antonio River Authority,7410000,RA,Bexar,2354114.735,0,N,A,1937/05/05 00:00:00+00,,D,OTH,NP,san_antonio_ra.shp,SFA,,15,29,0.882924862,6.262845527
Titus County FWSD 1,7790000,RA,Titus,272444.3673,0,N,A,1966/02/22 00:00:00+00,,D,OTH,NP,titus_fwsd1.shp,SFA,,225,449,0.106635751,1.927009618
Tuscola - Taylor County WCID 1,8018000,WCID,Taylor,1591.436063,1520,Y,A,1959/07/13 00:00:00+00,,OSD,FN,NP,tuscola_taylor_wcid1.shp,SFA,,221,441,0.000616015,0.113658761
Upper San Marcos Watershed Reclamation & FCD,8148000,LID,Hays,53306.41406,0,Y,A,1971/07/23 00:00:00+00,,OSD,MAP,NP,uppersanmarcos_wrfcd.shp,SFA,,105,209,0.020151012,0.693712495
Harris County MUD 540,3745908,MUD,Harris,544.6529944,543.37,N,I,2015/06/18 00:00:00+00,2021/11/29 00:00:00+00,MB,FN,P, ,gn,2022/02/10 00:00:00+00,101,201,0.000205775,0.099070232
Fort Bend County MUD 134 C,3081165,MUD,Fort Bend,881.0873416,878.301,N,A,2007/08/10 00:00:00+00,2008/12/16 00:00:00+00,MB,FN,P,fortbendmud134c_*.txt,kp,2010/03/10 00:00:00+00,79,157,0.000332257,0.097766889
Athens MWA,1085000,MUD,Henderson,1472.691857,0,Y,A,1957/05/22 00:00:00+00,,D,E,NP,athens_mwa.shp,SFA,,107,213,0.00057009,0.418819478
Delta County MUD,2721000,MUD,Delta,114953.8617,0,Y,A,1971/06/04 00:00:00+00,,OSD,OTH,NP,delta_mud.shp,SFA,,60,119,0.045092912,2.04033964
Canyon Regional Water Authority,2253700,OTH,Guadalulpe,726285.0577,0,Y,A,1989/03/28 00:00:00+00,,OSD,OTH,NP,canyon_rag_wa.shp,SFA,,94,187,0.273559741,10.86907752
Upper Colorado River Authority,8110000,RA,Coke,4995353.465,0,Y,A,1935/05/02 00:00:00+00,,OSD,OTH,NP,upper_colorade_ra.shp,SFA,,41,81,1.918410751,6.256967631
Galveston County MUD 34,3202610,MUD,Galveston,363.5902427,362.368,N,I,2008/05/07 00:00:00+00,,MB,FN,P,galvestonmud34_*.txt,jb,,84,167,0.000136799,0.054488273
Montgomery County MUD 191,5857770,MUD,Montgomery,342.7651545,342.759,N, I,2021/02/10 00:00:00+00,2021/07/14 00:00:00+00,MB,FN,P, ,gn,2022/02/11 00:00:00+00,170,339,0.000130024,0.078583486
Clovercreek MUD,2307100,MUD,Montgomery,157.879672,157.8786,N,A,1985/04/24 00:00:00+00,1995/06/01 00:00:00+00,MB,FN,P, ,gn,2022/02/14 00:00:00+00,170,339,5.98E-05,0.032968666
Montgomery County MUD 174,5857674,MUD, Montgomery,177.6862457,177.681,N,I,2019/06/14 00:00:00+00,2021/10/19 00:00:00+00,MB,FN,P, ,gn,2022/02/14 00:00:00+00,170,339,6.74E-05,0.051030245
Montgomery County MUD 165,5857639,MUD,Montgomery,293.4682722,293.46,N,A,2019/07/09 00:00:00+00,2021/06/23 00:00:00+00,MB,FN,P, ,gn,2022/02/14 00:00:00+00,170,339,0.000111301,0.095746382
Harris County MUD 415,3747158,MUD,Harris,560.0433918,560,N,A,2008/03/06 00:00:00+00,2012/10/24 00:00:00+00,MB,FN,P,harrismud415_*.txt,kp,2014/07/08 00:00:00+00,101,201,0.000212055,0.137250512
Baybrook Management District,1207450,OTH,Harris,1220.586537,1216.38,N,I,2003/06/20 00:00:00+00,,MB,FN,NP,baybrook_md.shp,SFA,,101,201,0.000459747,0.150420417
Harris County Improvement District 1,3736000,MMD,Harris,648.0067058,0,Y,A,1987/06/19 00:00:00+00,2013/05/22 00:00:00+00,OSD,MB/MAP,NP,harris_id1.shp,ks,2013/09/16 00:00:00+00,101,201,0.000244562,0.209818079
Jefferson County Drainage District 3,4914000,DD,Jefferson,46054.26424,0,Y,A,1912/05/13 00:00:00+00,,OSD,MB/MAP,NP,jefferson_dd3.shp,SFA,,123,245,0.017393586,0.588577685
Matagorda County Drainage District 3,5710000,DD,Matagorda,266605.303,410.066,Y,A,1911/11/13 00:00:00+00,,OSD,FN,NP,matagorda_dd3.shp,SFA,,161,321,0.099576475,2.037295166
Brazoria County MUD 29,1636083,MUD,Brazoria,778.7798679,777.91,N,A,2004/05/28 00:00:00+00,2015/02/20 00:00:00+00,MB,FN,P, ,ks,2017/08/14 00:00:00+00,20,39,0.000293232,0.108865702
Irving Flood Control District Section 1,4750000,LID,Dallas,674.412256,0,N,A,1971/05/10 00:00:00+00,,SHP,OTH,NP,irving_fcd1.shp,SFA,2009/02/26 00:00:00+00,57,113,0.000262868,0.08237642
Irving Flood Control District Section 3,4750010,LID,Dallas,2366.558372,0,N,A,1983/10/01 00:00:00+00,,SHP,OTH,NP,irving_fcd3.shp,SFA,2009/02/26 00:00:00+00,57,113,0.000923349,0.167268024
Liberty County WCID 5,5434000,WCID,Liberty,30519.92785,0,Y,A,1961/08/26 00:00:00+00,,OSD,MAP,NP,liberty_wcid5.shp,SFA,2009/02/26 00:00:00+00,146,297,0.011552694,0.594854566
Raywood Drainage District 2,7195000,DD,Liberty,42189.23491,0,Y,A,1916/09/12 00:00:00+00,,OSD,MAP,NP,raywood_dd2.shp,SFA,2009/02/26 00:00:00+00,146,291,0.015960074,0.670810465
Rio Grande Palms Water District,7283000,WCID,Cameron,4854.000393,4880,Y,A,1961/08/27 00:00:00+00,,OSD,MB,NP,rio_grande_palms_wd.shp,SFA,2009/02/26 00:00:00+00,31,61,0.001772202,0.497174001
Martin County FWSD 1,5670000,FWSD,Martin,33891.58632,0,Y,A,1928/03/12 00:00:00+00,,OSD,MAP,NP,martin_fwsd1.shp,SFA,2009/03/05 00:00:00+00,159,317,0.013134147,0.605149472
Muenster Water District,5891000,WCID,Cooke,1945.728996,0,N,A,1973/06/15 00:00:00+00,,MB,MAP,NP,muenster_wd.shp,SFA,2009/03/05 00:00:00+00,49,97,0.000765384,0.27614727
Angelina & Neches River Authority,1021000,RA,Angelina,3504684.234,0,N,A,1935/04/22 00:00:00+00,,D,OTH,NP,angelina_neches_ra.shp,SFA,,3,5,1.344505957,12.10912465
Fort Bend County Improvement District 24,3068050,MMD,Fort Bend,92.69906352,93.243,Y,A,2013/06/14 00:00:00+00,, ,MAP,NP,fort bend id 24.shp,kp,2014/07/22 00:00:00+00,79,157,3.50E-05,0.025389153
Matagorda County Navigation District 1,5740000,ND,Matagorda,173247.5538,0,N,A,1940/05/17 00:00:00+00,,MB,FN,NP,matagorda_nd1.shp,SFA,,161,321,0.0647584,2.154015721
Port of Corpus Christi Authority,7132500,ND,Nueces,1211571.684,0,Y,A,1922/11/13 00:00:00+00,,OSD,FN,NP,port_corpus_auth.shp,SFA,,178,355,0.449144162,3.43013222
Central Harris County Regional Water Authority,2260250,RD,Harris,4861.487502,0,Y,A,2005/05/26 00:00:00+00,,OSD, MAP,NP,central_harris_reg_wa.shp,SFA,,101,201,0.00183873,0.956533656
Montgomery County MUD 132 ,5858177,MUD,Montgomery,279.4600833,279.201,N,A,2013/06/14 00:00:00+00,2014/09/18 00:00:00+00,MB,FN,P,m,ks,2020/04/28 00:00:00+00,170,339,0.000106074,0.093450253
Harris County MUD 531,8881000,MUD,Harris,373.7313069,373.844,N,A,2013/06/14 00:00:00+00,2019/05/13 00:00:00+00,MB,FN,P,h,ks,2020/04/16 00:00:00+00,101,201,0.000141431,0.129594423
Harris County MUD 360,3738090,MUD,Harris,813.0379602,813.1974,N,A,1993/11/12 00:00:00+00,2015/09/21 00:00:00+00,MB,FN,P, ,SPT,2018/11/19 00:00:00+00,101,201,0.000307615,0.144286092
Cinco Southwest MUD 3,2286792,MUD,Fort Bend,677.9185295,675.5,N,A,2007/02/09 00:00:00+00,2007/04/30 00:00:00+00,MB,FN,NP,cincoswmud3_*.txt,kp,2008/06/05 00:00:00+00,79,157,0.000255777,0.070384928
Idlewood WCID 1,4702000,WCID,Angelina,296.4075298,295.249,N,A,1996/07/29 00:00:00+00,,MB,FN,P,idlewoodwcid1.txt,jb,,3,5,0.000113734,0.047325667
Magnolia Woods MUD 1,5662100,MUD,Montgomery,5754.836138,5731.952,N,A,2007/09/01 00:00:00+00,,MB,FN,NP,magnoliawoodsmud1_*.txt,jb,,170,339,0.002182981,0.346211081
Brazoria County MUD 44,1636250,MUD,Brazoria,245.25073,245.906,N,A,2005/06/22 00:00:00+00,,MB,FN,NP,brazoria_mud44.shp,SFA,,20,39,9.22E-05,0.040501573
Calhoun County Drainage District 10,1880000,DD,Calhoun,10892.75604,10752.4,N,A,1954/08/23 00:00:00+00,,MB,FN,NP,calhound_dd10.shp,SFA,,29,57,0.004064187,0.366581377
Calhoun County Drainage District 11,1890000,WCID,Calhoun,31417.01536,32700,N,A,1961/08/27 00:00:00+00,,MB,FN,NP,calhoun_dd11.shp,SFA,,29,57,0.011730924,0.564727666
Galveston County MUD 61,3202402,MUD,Galveston,333.2534951,329.955,Y,I,2005/06/17 00:00:00+00,,OSD,FN,NP,galveston_mud61.shp,SFA,,84,167,0.000125359,0.057701522
Galveston County MUD 62,3202405,MUD,Galveston,212.0946878,215.1242,Y,I,2005/06/17 00:00:00+00,,OSD,FN,NP,galveston_mud62.shp,SFA,,84,167,7.98E-05,0.04900664
Galveston County MUD 63,3202408,MUD,Galveston,258.6852049,258.9002,Y,I,2005/06/17 00:00:00+00,,OSD,Fn,NP,galveston_mud63.shp,SFA,,84,167,9.73E-05,0.054961593
Harris County MUD 319,3737834,MUD,Harris,913.7874484,814.1215,N,A,1985/06/14 00:00:00+00,2015/12/17 00:00:00+00,MB,FN,P, ,gn,2022/02/09 00:00:00+00,101,201,0.000345826,0.152078281
Brookshire Municipal Water District,1710000,WCID,Waller,1366.555583,0,NA,A,1951/05/23 00:00:00+00,2002/08/19 00:00:00+00,MB,FN,NP,"brookshire_mwd*.txt, Location ???",sjm,2003/08/14 00:00:00+00,237,473,0.000515952,0.145688173
Williamson County Water Sewer Irrigation and Drainage Dist 3,8669500,MUD,Williamson,749.2675667,734.862,N,A,1987/06/18 00:00:00+00,2008/07/09 00:00:00+00,MB,FN,NP,williamsonWSIDD3_*.txt,sae,2008/12/29 00:00:00+00,246,491,0.000284927,0.155129617
Harris County MUD 491,3737113,MUD,Harris,875.4678307,895.07,N,A,2007/07/03 00:00:00+00,2017/02/15 00:00:00+00,MB,FN,NP, ,SPT,2018/12/12 00:00:00+00,101,201,0.000331128,0.096469172
New Sweden MUD 1,5953750,MUD,Travis,529.4212678,533.88,N,A,2006/07/20 00:00:00+00,2006/11/08 00:00:00+00,MB,FN,NP,newswedenmud1_*.txt,kp,2007/09/04 00:00:00+00,227,453,0.000201142,0.082591535
Montgomery County MUD 115,5857517,MUD,Montgomery,689.0049074,686.3,N,A,2006/03/22 00:00:00+00,2007/02/01 00:00:00+00,MB,FN,NP,montgomerymud115_*.txt,kp,2007/09/12 00:00:00+00,170,339,0.00026107,0.087303781
Harris County MUD 401,3737129,MUD,Harris,506.9383502,505.2513,N,A,2004/08/10 00:00:00+00,2006/12/20 00:00:00+00,MB,FN,NP,harris_mud401-*.txt,kp,2007/09/12 00:00:00+00,101,201,0.000191946,0.127036529
